TIME, 2.1905, TASKS, 16, THREADS, 16
TIME, 2.1014, TASKS, 16, THREADS, 8
TIME, 2.2218, TASKS, 16, THREADS, 4
TIME, 2.1651, TASKS, 16, THREADS, 2
TIME, 2.1118, TASKS, 16, THREADS, 1
TIME, 4.3449, TASKS, 8, THREADS, 8
TIME, 4.3060, TASKS, 8, THREADS, 4
TIME, 4.2590, TASKS, 8, THREADS, 2
TIME, 4.2368, TASKS, 8, THREADS, 1
TIME, 8.7296, TASKS, 4, THREADS, 8
TIME, 8.7042, TASKS, 4, THREADS, 4
TIME, 8.4309, TASKS, 4, THREADS, 2
TIME, 8.6507, TASKS, 4, THREADS, 1
TIME, 17.7407, TASKS, 2, THREADS, 4
TIME, 17.6415, TASKS, 2, THREADS, 2
TIME, 17.9346, TASKS, 2, THREADS, 1
TIME, 35.6837, TASKS, 1, THREADS, 2
TIME, 35.8407, TASKS, 1, THREADS, 1
TIME, 2.1474, TASKS, 16, THREADS, 16
TIME, 2.1412, TASKS, 16, THREADS, 8
TIME, 2.0425, TASKS, 16, THREADS, 4
TIME, 1.9582, TASKS, 16, THREADS, 2
TIME, 1.9452, TASKS, 16, THREADS, 1
TIME, 4.1928, TASKS, 8, THREADS, 8
TIME, 4.3282, TASKS, 8, THREADS, 4
TIME, 4.5499, TASKS, 8, THREADS, 2
TIME, 4.4359, TASKS, 8, THREADS, 1
TIME, 8.9244, TASKS, 4, THREADS, 8
TIME, 9.6632, TASKS, 4, THREADS, 4
TIME, 8.5927, TASKS, 4, THREADS, 2
TIME, 8.9285, TASKS, 4, THREADS, 1
TIME, 17.7512, TASKS, 2, THREADS, 4
TIME, 17.9040, TASKS, 2, THREADS, 2
TIME, 17.7912, TASKS, 2, THREADS, 1
TIME, 35.7878, TASKS, 1, THREADS, 2
TIME, 35.5784, TASKS, 1, THREADS, 1
TIME, 2.0890, TASKS, 16, THREADS, 16
TIME, 2.2443, TASKS, 16, THREADS, 8
TIME, 2.2419, TASKS, 16, THREADS, 4
TIME, 2.1700, TASKS, 16, THREADS, 2
TIME, 2.2500, TASKS, 16, THREADS, 1
TIME, 4.3593, TASKS, 8, THREADS, 8
TIME, 4.2659, TASKS, 8, THREADS, 4
TIME, 4.0983, TASKS, 8, THREADS, 2
TIME, 4.2539, TASKS, 8, THREADS, 1
TIME, 8.7077, TASKS, 4, THREADS, 8
TIME, 8.7020, TASKS, 4, THREADS, 4
TIME, 8.7766, TASKS, 4, THREADS, 2
TIME, 8.5366, TASKS, 4, THREADS, 1
TIME, 17.9613, TASKS, 2, THREADS, 4
TIME, 17.2715, TASKS, 2, THREADS, 2
TIME, 17.5577, TASKS, 2, THREADS, 1
TIME, 36.3664, TASKS, 1, THREADS, 2
TIME, 35.8301, TASKS, 1, THREADS, 1
TIME, 2.1825, TASKS, 16, THREADS, 16
TIME, 2.1474, TASKS, 16, THREADS, 8
TIME, 2.1681, TASKS, 16, THREADS, 4
TIME, 2.1810, TASKS, 16, THREADS, 2
TIME, 2.1248, TASKS, 16, THREADS, 1
TIME, 4.4426, TASKS, 8, THREADS, 8
TIME, 4.8836, TASKS, 8, THREADS, 4
TIME, 4.3979, TASKS, 8, THREADS, 2
TIME, 4.3098, TASKS, 8, THREADS, 1
TIME, 8.9806, TASKS, 4, THREADS, 8
TIME, 8.9268, TASKS, 4, THREADS, 4
TIME, 8.3504, TASKS, 4, THREADS, 2
TIME, 8.8482, TASKS, 4, THREADS, 1
TIME, 17.9158, TASKS, 2, THREADS, 4
TIME, 18.3258, TASKS, 2, THREADS, 2
TIME, 17.9905, TASKS, 2, THREADS, 1
TIME, 35.9474, TASKS, 1, THREADS, 2
TIME, 35.7971, TASKS, 1, THREADS, 1
TIME, 2.0965, TASKS, 16, THREADS, 16
TIME, 2.1481, TASKS, 16, THREADS, 8
TIME, 2.2383, TASKS, 16, THREADS, 4
TIME, 2.1865, TASKS, 16, THREADS, 2
TIME, 2.0889, TASKS, 16, THREADS, 1
TIME, 4.4472, TASKS, 8, THREADS, 8
TIME, 4.7318, TASKS, 8, THREADS, 4
TIME, 4.4179, TASKS, 8, THREADS, 2
TIME, 4.4318, TASKS, 8, THREADS, 1
TIME, 8.7384, TASKS, 4, THREADS, 8
TIME, 8.6910, TASKS, 4, THREADS, 4
TIME, 8.8206, TASKS, 4, THREADS, 2
TIME, 9.5918, TASKS, 4, THREADS, 1
TIME, 17.7892, TASKS, 2, THREADS, 4
TIME, 18.0099, TASKS, 2, THREADS, 2
TIME, 17.6584, TASKS, 2, THREADS, 1
TIME, 35.5349, TASKS, 1, THREADS, 2
TIME, 35.5396, TASKS, 1, THREADS, 1
