TIME, 14.9503, TASKS, 2, THREADS, 1
TIME, 15.0054, TASKS, 2, THREADS, 1
TIME, 15.0448, TASKS, 2, THREADS, 1
TIME, 15.0543, TASKS, 2, THREADS, 1
TIME, 14.9444, TASKS, 2, THREADS, 1
TIME, 8.5264, TASKS, 4, THREADS, 1
TIME, 8.5096, TASKS, 4, THREADS, 1
TIME, 8.2848, TASKS, 4, THREADS, 1
TIME, 8.2860, TASKS, 4, THREADS, 1
TIME, 8.2666, TASKS, 4, THREADS, 1
TIME, 214.1780, TASKS, 2, THREADS, 2
TIME, 205.3113, TASKS, 2, THREADS, 2
TIME, 205.2329, TASKS, 2, THREADS, 2
TIME, 95.6669, TASKS, 4, THREADS, 2
TIME, 107.7306, TASKS, 4, THREADS, 2
TIME, 106.9450, TASKS, 4, THREADS, 2
TIME, 106.6429, TASKS, 4, THREADS, 2
TIME, 107.5000, TASKS, 4, THREADS, 2
TIME, 86.4544, TASKS, 2, THREADS, 4
TIME, 86.6332, TASKS, 2, THREADS, 4
TIME, 88.0870, TASKS, 2, THREADS, 4
TIME, 87.2294, TASKS, 2, THREADS, 4
TIME, 83.7638, TASKS, 2, THREADS, 4
TIME, 20.7811, TASKS, 4, THREADS, 4
TIME, 30.3460, TASKS, 4, THREADS, 4
TIME, 27.0430, TASKS, 4, THREADS, 4
TIME, 27.0558, TASKS, 4, THREADS, 4
TIME, 31.4269, TASKS, 4, THREADS, 4
TIME, 61.4991, TASKS, 4, THREADS, 8
TIME, 62.2210, TASKS, 4, THREADS, 8
TIME, 60.0769, TASKS, 4, THREADS, 8
TIME, 56.4793, TASKS, 4, THREADS, 8
TIME, 56.3069, TASKS, 4, THREADS, 8
TIME, 5.7795, TASKS, 8, THREADS, 1
TIME, 5.7076, TASKS, 8, THREADS, 1
TIME, 5.8186, TASKS, 8, THREADS, 1
TIME, 5.0931, TASKS, 8, THREADS, 1
TIME, 5.6989, TASKS, 8, THREADS, 1
TIME, 47.6329, TASKS, 8, THREADS, 2
TIME, 45.6691, TASKS, 8, THREADS, 2
TIME, 49.6240, TASKS, 8, THREADS, 2
TIME, 49.5759, TASKS, 8, THREADS, 2
TIME, 47.8397, TASKS, 8, THREADS, 2
TIME, 23.3710, TASKS, 8, THREADS, 4
TIME, 23.0778, TASKS, 8, THREADS, 4
TIME, 22.9639, TASKS, 8, THREADS, 4
TIME, 23.3214, TASKS, 8, THREADS, 4
TIME, 22.6636, TASKS, 8, THREADS, 4
TIME, 30.4466, TASKS, 8, THREADS, 8
TIME, 30.9516, TASKS, 8, THREADS, 8
TIME, 30.8084, TASKS, 8, THREADS, 8
TIME, 29.7115, TASKS, 8, THREADS, 8
TIME, 29.8935, TASKS, 8, THREADS, 8
TIME, 3.7183, TASKS, 16, THREADS, 1
TIME, 3.6544, TASKS, 16, THREADS, 1
TIME, 3.6535, TASKS, 16, THREADS, 1
TIME, 3.5871, TASKS, 16, THREADS, 1
TIME, 3.6046, TASKS, 16, THREADS, 1
TIME, 25.6882, TASKS, 16, THREADS, 2
TIME, 25.6516, TASKS, 16, THREADS, 2
TIME, 25.6708, TASKS, 16, THREADS, 2
TIME, 25.6078, TASKS, 16, THREADS, 2
TIME, 25.7226, TASKS, 16, THREADS, 2
TIME, 12.1522, TASKS, 16, THREADS, 4
TIME, 11.7718, TASKS, 16, THREADS, 4
TIME, 11.7054, TASKS, 16, THREADS, 4
TIME, 12.1007, TASKS, 16, THREADS, 4
TIME, 14.0452, TASKS, 16, THREADS, 4
TIME, 15.7413, TASKS, 16, THREADS, 8
TIME, 15.5720, TASKS, 16, THREADS, 8
TIME, 15.5103, TASKS, 16, THREADS, 8
TIME, 15.6265, TASKS, 16, THREADS, 8
TIME, 15.3727, TASKS, 16, THREADS, 8
TIME, 18.7083, TASKS, 16, THREADS, 16
TIME, 18.3923, TASKS, 16, THREADS, 16
TIME, 18.1082, TASKS, 16, THREADS, 16
TIME, 18.0763, TASKS, 16, THREADS, 16
TIME, 18.9042, TASKS, 16, THREADS, 16
